"","ATEMP_SUMMER_HIST_HUC12","WOODY_VEG_PCT_HUC12","N_RED_DRYDEP_HUC12","HUC12_join","preds"
"275",21.51,39.81,1.518676446,40400010403,NA
"276",22.33,29.44,1.692664509,71200011103,NA
"277",20.15,77.67,0.975250816,20502060509,NA
"278",19.6,81.37,0.70042207,50100011108,NA
"279",20.55,29.94,1.841022584,71200061006,NA
"280",22.99,3.82,3.081851725,51202011110,NA
"281",21.25,55.3,0.898295912,101900020808,NA
"282",20.51,29.8,3.670454621,70200120902,NA
"283",17.74,92.45,0.645771196,40301080107,NA
"284",26.43,18.77,1.738078519,31300011103,NA
"285",29.55,86.69,0.554436545,31401040403,NA
"286",23.08,24.75,1.636638972,20402030809,NA
"287",22.73,82.34,0.670652097,50500021003,NA
"288",21.36,23.61,1.730360001,40500012210,NA
"289",20.22,71.64,0.82091714,11000020108,NA
"290",24.42,9.93,2.124097616,51201121202,NA
"291",16.06,75.18,0.494155139,40601060604,NA
"292",22.46,49.76,1.200800384,50200061203,NA
"293",20.35,7.33,4.059005855,70200121109,NA
"294",22.17,17.14,2.947017243,70801030605,NA
"295",23.93,5.47,1.838787326,71300060409,NA
"296",23.97,36.25,1.494456706,20700070304,NA
"297",24.31,12.24,2.060880345,20600030902,NA
"298",21.3,3.78,4.634587266,71000020903,NA
"299",24.49,90.1,0.583274366,50702010609,NA
"300",21.68,5.32,1.670777419,41000111302,NA
"301",22.98,17.12,2.092837057,51201100604,NA
"302",20.42,22.75,1.860288982,71200061003,NA
"303",14.46,98.46,0.400197963,170501020301,NA
"304",25.19,74.83,0.745252952,30101030702,NA
"305",26.18,68.66,1.811822341,31501050806,NA
"306",22.32,19.71,2.764105796,70900051104,NA
"307",22.48,51.78,2.202240355,20503010405,NA
"308",29.69,75.43,0.668074157,31700080402,NA
"309",22.63,3.17,1.666886267,71200011406,NA
"310",21.72,7.03,2.415708764,41000080304,NA
"311",23.17,30.76,1.89035737,20402031002,NA
"312",28.12,38.14,1.209500726,30501040401,NA
"313",18.41,91.25,0.728851779,101201090904,NA
"314",19.54,95.22,0.50453706,20502030302,NA
"315",36.04,55.77,0.447786947,150301041311,NA
"316",23.55,57.34,1.278397847,60101020204,NA
"317",22.85,16.1,3.490213686,51201070408,NA
"318",21.93,12.6,2.153957072,41000060503,NA
"319",28.95,78.93,0.618625579,31602040303,NA
"320",21.89,93.93,1.044048591,60101010206,NA
"321",28.81,39.97,0.709028437,31401070101,NA
"322",20.68,28.34,0.856826705,170103060306,NA
"323",22.86,11.56,2.090290667,51202040405,NA
"324",22.1,11.68,1.93356925,41000060601,NA
"325",25.12,18.75,2.700152961,110100020303,NA
"326",23.76,26.86,1.693014617,71300051405,NA
"327",20.73,71.9,0.824118596,11000030304,NA
"328",25.82,60.34,1.356324698,51100020905,NA
"329",22.26,15.94,2.85526873,51201040509,NA
"330",22.5,25.05,3.072658778,71000061702,NA
"331",22.94,89.39,0.630447793,50500040306,NA
"332",18.69,20.92,2.177177808,171100020304,NA
"333",20.49,6.95,3.794799685,70200040605,NA
"334",21.3,9.73,2.217107587,70900050104,NA
"335",26.27,64.72,2.058130157,30300030504,NA
"336",19.56,57.42,1.031267392,50200060402,NA
"337",28.05,0.05,0.834541868,31401050500,NA
"338",30.75,95.89,0.739838036,121101060205,NA
"339",30.43,24.32,1.667860465,31002060402,NA
"340",22.85,66.49,0.91558909,50500020203,NA
"341",21.57,10.42,1.965679252,41000090903,NA
"342",22.18,73.89,0.780402914,20700020507,NA
"343",22.1,26.91,2.260930146,41000030707,NA
"344",22.46,29.52,2.614404266,51201030606,NA
"345",12.06,74.7,0.533336558,140100010202,NA
"346",17.49,91.41,0.705817789,180400080108,NA
"347",21.3,33.49,1.319613324,41000120204,NA
"348",22.07,58.76,0.745487703,50100061107,NA
"349",20.41,32.89,2.676570923,70700050303,NA
"350",20.8,18.99,1.786136,71200060907,NA
"351",22.03,5.21,2.343165122,71200070202,NA
"352",21.58,58.6,1.040136809,50500020901,NA
"353",24.15,89.78,0.581477148,50702010602,NA
"354",28.9,81.46,0.594372441,31401060702,NA
"355",28.52,67.98,1.266844784,30502040102,NA
"356",18.57,74.19,0.5460249,40700070709,NA
"357",20.02,91.95,0.456403351,20502020207,NA
"358",19.24,59.1,1.072996372,41402030204,NA
"359",35.94,10.28,0.61020247,150301080300,NA
"360",23.88,67.63,0.753660923,30101010301,NA
"361",21.44,22.96,2.419162488,70900060803,NA
"362",21.51,18.3,3.230152811,70600060804,NA
"363",26.02,35.22,1.96519293,51100030505,NA
"364",31.67,29.16,1.469471615,121003020406,NA
"365",22.26,5.87,2.805610485,70900051001,NA
"366",24.23,70.84,0.604595152,50500080308,NA
"367",19.66,89.27,0.679144818,101201090905,NA
"368",24.07,29.44,1.384989981,51201081605,NA
"369",23.46,34.34,1.667382056,71300051204,NA
"370",20.62,34.68,2.665812495,40500060307,NA
"371",20.45,60.88,0.830405993,101201090803,NA
"372",24.47,66.53,1.650236911,51202081006,NA
"373",23.39,88.42,0.717806983,50702020304,NA
"374",20.84,21.33,5.183801223,70200071107,NA
"375",21.48,19.78,3.004999712,170900100504,NA
"376",21.46,28.14,2.224636518,70900050407,NA
"377",11.5,85.99,0.430027784,140100030202,NA
"378",24.15,2.55,1.69957745,101900180105,NA
"379",20.66,58.39,0.738266973,50100060706,NA
